salary,isRemote,companyHQ,companySize,jobType,jobRole,programmingLanguage,yearsOfExperience,seniorityLevel,gender,age,isEUCitizen,raceOrEthnicity,education,company
127000,True,EE UU,11-50,Full-time,Backend Engineer,java,8,Senior,Male,30,True,white,Undergraduate (Grado) - 4 years
34000,False,Spain,51-200,Full-time,Backend Engineer,php,5,Senior,Male,31,True,white,Undergraduate (Grado) - 4 years
45000,False,Spain,It's big,Part-time,Backend Engineer,java,12,Senior,Male,32,True,white,No formal education
84000,False,Spain,51-200,Full-time,Tech Lead,"ruby, scala, javascript",17,Lead,Male,37,True,white,No formal education
54000,False,Spain,51-200,Full-time,Systems Engineer,go,12,Lead,Male,32,True,white,Community College (FP superior) - 2 years
45000,False,Spain,11-50,Full-time,QA Engineer,python,11,Lead,Male,35,True,,Masters (Licenciado/Master) - 4 years + master
55000,True,USA,51-200,Full-time,Backend Engineer,php,13,Senior,Male,33,True,white,Undergraduate (Grado) - 4 years
52000,False,Spain,It's big,Full-time,Software Engineer,java,10,Lead,Male,31,True,white,Undergraduate (Grado) - 4 years
40000,False,Spain,11-50,Full-time,Backend Engineer,spanish,7,Senior,Male,30,True,white,Masters (Licenciado/Master) - 4 years + master
40000,True,Spain,11-50,Full-time,Backend Engineer,php,7,Senior,Male,30,True,white,Masters (Licenciado/Master) - 4 years + master
27500,False,england and spain,2-10,Full-time,iOS Engineer,swift,1,Junior,Female,26,True,white,Undergraduate (Grado) - 4 years
38000,False,Spain,51-200,Full-time,Software Engineer,php,3,Mid-level,Male,30,True,-,Masters (Licenciado/Master) - 4 years + master
46000,False,Spain,51-200,Full-time,Frontend Engineer,javascript,7,Senior,Male,30,True,,Masters - Non-engineer
24000,False,Spain,11-50,Full-time,Backend Engineer,php,3,Mid-level,Male,27,True,,Undergraduate (Grado) - 4 years
54000,False,Spain,51-200,Full-time,QA Engineer,ruby,0,Senior,Prefer not to say,23,True,white,No formal education
27000,False,Spain,51-200,Full-time,Android Engineer,java,3,Mid-level,Female,30,True,white,Masters (Licenciado/Master) - 4 years + master
